A_size,A_addfirst(ms),A_addlast(ms),A_addrandpos(ms),A_removefirst(ms),A_removelast(ms),A_removerandpos(ms),A_getfirst(ms),A_getrandpos(ms),A_getlast(ms),S_addfirst(ms),S_addlast(ms),S_addrandpos(ms),S_removefirst(ms),S_removelast(ms),S_removerandpos(ms),S_getfirst(ms),S_getlast(ms),S_getrandpos(ms),D_addfirst(ms),D_addlast(ms),D_addrandpos(ms),D_removefirst(ms),D_removelast(ms),D_removerandpos(ms),D_getfirst(ms),D_getlast(ms),D_getrandpos(ms),
72427,0.000176,0.000000,0.000040,0.000199,0.000000,0.000044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000223,0.000000,0.000607,0.000241,0.000000,0.000000,0.000257,0.000000,0.000000,0.000251,0.000000,0.000000,0.000074,0.000000,0.000000,0.000073,
24178,0.000069,0.000000,0.000036,0.000065,0.000000,0.000015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000079,0.000000,0.000244,0.000070,0.000000,0.000000,0.000084,0.000000,0.000000,0.000081,0.000000,0.000000,0.000025,0.000000,0.000000,0.000025,
34781,0.000083,0.000000,0.000057,0.000090,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000039,0.000000,0.000258,0.000042,0.000000,0.000000,0.000053,0.000000,0.000000,0.000051,0.000000,0.000000,0.000053,0.000000,0.000000,0.000050,
33052,0.000078,0.000000,0.000015,0.000087,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000081,0.000000,0.000213,0.000110,0.000000,0.000000,0.000108,0.000000,0.000000,0.000112,0.000000,0.000000,0.000024,0.000000,0.000000,0.000024,
67236,0.000160,0.000000,0.000092,0.000179,0.000000,0.000097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000092,0.000000,0.000456,0.000130,0.000000,0.000000,0.000247,0.000000,0.000000,0.000180,0.000000,0.000000,0.000126,0.000000,0.000000,0.000128,
86191,0.000205,0.000000,0.000196,0.000224,0.000000,0.000214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,0.000000,0.000797,0.000016,0.000000,0.000000,0.000017,0.000000,0.000000,0.000018,0.000000,0.000000,0.000017,0.000000,0.000000,0.000100,
39053,0.000093,0.000000,0.000030,0.000101,0.000000,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000085,0.000000,0.000289,0.000103,0.000000,0.000000,0.000114,0.000000,0.000000,0.000119,0.000000,0.000000,0.000055,0.000000,0.000000,0.000054,
31636,0.000075,0.000000,0.000014,0.000082,0.000000,0.000015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000078,0.000000,0.000203,0.000107,0.000000,0.000000,0.000101,0.000000,0.000000,0.000104,0.000000,0.000000,0.000022,0.000000,0.000000,0.000022,
83169,0.000197,0.000000,0.000045,0.000310,0.000000,0.000052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000354,0.000000,0.000939,0.000338,0.000000,0.000000,0.000382,0.000000,0.000000,0.000393,0.000000,0.000000,0.000081,0.000000,0.000000,0.000086,
59769,0.000173,0.000000,0.000139,0.000198,0.000000,0.000156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000256,0.000000,0.000852,0.000209,0.000000,0.000000,0.000212,0.000000,0.000000,0.000197,0.000000,0.000000,0.000124,0.000000,0.000000,0.000144,
82167,0.000264,0.000001,0.000068,0.000300,0.000000,0.000079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000373,0.000000,0.000906,0.000318,0.000000,0.000000,0.000318,0.000000,0.000000,0.000275,0.000000,0.000000,0.000087,0.000000,0.000000,0.000097,
12420,0.000034,0.000000,0.000030,0.000032,0.000000,0.000027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,0.000000,0.000099,0.000008,0.000000,0.000000,0.000008,0.000000,0.000000,0.000008,0.000000,0.000000,0.000008,0.000000,0.000000,0.000009,
22587,0.000055,0.000000,0.000055,0.000059,0.000000,0.000086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000226,0.000002,0.000000,0.000000,0.000002,0.000000,0.000000,0.000002,0.000000,0.000000,0.000002,0.000000,0.000000,0.000002,
2815,0.000007,0.000000,0.000006,0.000010,0.000000,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000028,0.000001,0.000000,0.000000,0.000001,0.000000,0.000000,0.000001,0.000000,0.000000,0.000002,0.000000,0.000000,0.000001,
7118,0.000018,0.000000,0.000007,0.000022,0.000000,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,0.000000,0.000055,0.000018,0.000000,0.000000,0.000021,0.000000,0.000000,0.000018,0.000000,0.000000,0.000011,0.000000,0.000000,0.000011,
22917,0.000080,0.000000,0.000037,0.000060,0.000000,0.000047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000021,0.000000,0.000173,0.000025,0.000000,0.000000,0.000028,0.000000,0.000000,0.000033,0.000000,0.000000,0.000039,0.000000,0.000000,0.000048,
45118,0.000200,0.000000,0.000078,0.000155,0.000001,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000096,0.000000,0.000434,0.000119,0.000000,0.000000,0.000118,0.000000,0.000000,0.000153,0.000000,0.000000,0.000134,0.000000,0.000000,0.000148,
52019,0.000162,0.000000,0.000067,0.000216,0.000000,0.000077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000157,0.000000,0.000474,0.000151,0.000000,0.000000,0.000158,0.000000,0.000000,0.000158,0.000000,0.000000,0.000095,0.000000,0.000000,0.000093,
47749,0.000113,0.000000,0.000007,0.000125,0.000000,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000159,0.000000,0.000357,0.000183,0.000000,0.000000,0.000210,0.000000,0.000000,0.000216,0.000001,0.000000,0.000013,0.000000,0.000000,0.000011,
84187,0.000210,0.000000,0.000106,0.000221,0.000000,0.000162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000204,0.000000,0.001041,0.000198,0.000000,0.000000,0.000191,0.000000,0.000000,0.000156,0.000000,0.000000,0.000220,0.000000,0.000000,0.000379,
60394,0.000180,0.000000,0.000098,0.000222,0.000000,0.000135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000131,0.000000,0.000778,0.000089,0.000000,0.000000,0.000115,0.000000,0.000000,0.000154,0.000000,0.000000,0.000163,0.000000,0.000000,0.000123,
93951,0.000306,0.000000,0.000093,0.000318,0.000000,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000319,0.000000,0.001159,0.000381,0.000000,0.000000,0.000438,0.000000,0.000000,0.000383,0.000000,0.000000,0.000124,0.000000,0.000000,0.000127,
72584,0.000177,0.000000,0.000171,0.000197,0.000000,0.000111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000163,0.000000,0.000556,0.000145,0.000000,0.000000,0.000131,0.000000,0.000000,0.000217,0.000000,0.000000,0.000151,0.000000,0.000000,0.000184,
65357,0.000214,0.000000,0.000126,0.000172,0.000000,0.000154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000071,0.000000,0.000557,0.000068,0.000000,0.000000,0.000075,0.000000,0.000000,0.000076,0.000000,0.000000,0.000073,0.000000,0.000000,0.000082,
2605,0.000006,0.000000,0.000006,0.000007,0.000000,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,
70103,0.000167,0.000000,0.000043,0.000206,0.000000,0.000044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000212,0.000000,0.000697,0.000237,0.000000,0.000000,0.000286,0.000000,0.000000,0.000381,0.000000,0.000000,0.000127,0.000000,0.000000,0.000158,
61096,0.000203,0.000000,0.000208,0.000161,0.000000,0.000200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000081,0.000000,0.000578,0.000067,0.000000,0.000000,0.000054,0.000000,0.000000,0.000078,0.000000,0.000000,0.000055,0.000000,0.000000,0.000076,
98228,0.000291,0.000000,0.000195,0.000272,0.000000,0.000107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000191,0.000000,0.000739,0.000296,0.000000,0.000000,0.000262,0.000000,0.000000,0.000273,0.000000,0.000000,0.000178,0.000000,0.000000,0.000176,
45998,0.000115,0.000000,0.000062,0.000133,0.000000,0.000068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000080,0.000000,0.000378,0.000090,0.000000,0.000000,0.000089,0.000000,0.000000,0.000104,0.000000,0.000000,0.000147,0.000000,0.000000,0.000140,
53543,0.000146,0.000000,0.000143,0.000156,0.000000,0.000148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000590,0.000015,0.000000,0.000000,0.000018,0.000000,0.000000,0.000024,0.000000,0.000000,0.000050,0.000000,0.000000,0.000022,
45353,0.000148,0.000000,0.000153,0.000334,0.000000,0.000088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000195,0.000000,0.000648,0.000176,0.000000,0.000000,0.000176,0.000000,0.000000,0.000146,0.000000,0.000000,0.000078,0.000000,0.000000,0.000081,
4718,0.000027,0.000000,0.000011,0.000014,0.000000,0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000000,0.000038,0.000005,0.000000,0.000000,0.000008,0.000000,0.000000,0.000005,0.000000,0.000000,0.000005,0.000000,0.000000,0.000009,
89269,0.000338,0.000000,0.000164,0.000328,0.000000,0.000202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000152,0.000000,0.001418,0.000189,0.000000,0.000000,0.000241,0.000000,0.000000,0.000259,0.000000,0.000000,0.000194,0.000000,0.000000,0.000191,
72116,0.000172,0.000000,0.000003,0.000194,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000251,0.000000,0.000553,0.000413,0.000000,0.000000,0.000392,0.000000,0.000000,0.000533,0.000000,0.000000,0.000101,0.000000,0.000000,0.000086,
96738,0.000347,0.000000,0.000072,0.000437,0.000000,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000703,0.000000,0.001942,0.000572,0.000000,0.000000,0.000983,0.000000,0.000000,0.000852,0.000000,0.000000,0.000158,0.000000,0.000000,0.000116,
7713,0.000032,0.000000,0.000002,0.000021,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000049,0.000000,0.000086,0.000032,0.000000,0.000000,0.000044,0.000000,0.000000,0.000031,0.000000,0.000000,0.000002,0.000000,0.000000,0.000002,
12574,0.000175,0.000000,0.000014,0.000116,0.000000,0.000012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000042,0.000000,0.000132,0.000050,0.000000,0.000000,0.000053,0.000000,0.000000,0.000070,0.000000,0.000000,0.000012,0.000000,0.000000,0.000012,
